timestamp,temperatura,precipitacao,radiacao,umidade,velocidade_vento,estacao
2024-03-15T00:00:00,27.92,0.00,3220.80,82.00,8.90,A701
2024-03-16T00:00:00,28.43,0.00,3201.60,77.00,9.00,A701
2024-03-17T00:00:00,28.72,0.00,3000.30,72.00,10.70,A701
2024-03-18T00:00:00,25.07,48.20,2680.00,99.00,11.80,A701
2024-03-19T00:00:00,24.60,18.00,3059.50,91.00,19.80,A701
2024-03-20T00:00:00,25.90,0.20,3732.80,91.00,7.30,A701
2024-03-21T00:00:00,27.09,0.00,3186.00,83.00,14.00,A701
2024-03-22T00:00:00,21.10,3.00,1033.30,92.00,11.50,A701
2024-03-23T00:00:00,17.65,3.20,752.10,92.00,9.60,A701
2024-03-24T00:00:00,18.90,4.40,1322.60,98.00,7.10,A701
2024-03-25T00:00:00,21.92,0.00,3249.60,90.00,7.10,A701
2024-03-26T00:00:00,20.86,0.00,2413.50,90.00,7.40,A701
2024-03-27T00:00:00,19.75,0.20,651.90,86.00,6.60,A701
2024-03-28T00:00:00,19.08,3.20,987.40,93.00,4.70,A701
2024-03-29T00:00:00,21.80,0.00,2064.20,92.00,6.10,A701
2024-03-30T00:00:00,23.08,0.00,3271.80,86.00,8.60,A701
2024-03-31T00:00:00,22.98,0.20,3334.60,90.00,7.60,A701
2024-04-01T00:00:00,22.31,0.00,3296.30,84.00,7.40,A701
2024-04-02T00:00:00,23.31,0.40,3179.60,89.00,6.70,A701
2024-04-03T00:00:00,23.98,0.00,3210.70,86.00,7.60,A701
2024-04-04T00:00:00,24.18,0.00,3208.30,88.00,7.10,A701
2024-04-05T00:00:00,21.65,0.00,2418.60,88.00,5.50,A701
2024-04-06T00:00:00,22.68,0.00,2427.90,82.00,7.80,A701
2024-04-07T00:00:00,22.15,0.00,2808.30,89.00,7.80,A701
2024-04-08T00:00:00,22.02,1.40,1930.00,89.00,7.80,A701
2024-04-09T00:00:00,22.60,1.60,2267.10,92.00,7.60,A701
2024-04-10T00:00:00,23.22,0.00,2789.20,89.00,7.50,A701
2024-04-11T00:00:00,22.08,0.00,2967.90,89.00,8.10,A701
2024-04-12T00:00:00,22.76,0.00,2811.70,85.00,8.90,A701
2024-04-13T00:00:00,23.40,0.00,3073.90,83.00,7.70,A701
2024-04-14T00:00:00,22.90,0.00,1562.90,86.00,6.60,A701
2024-04-15T00:00:00,23.52,0.20,3092.10,86.00,6.60,A701
2024-04-16T00:00:00,25.18,0.00,3026.10,85.00,7.40,A701
2024-04-17T00:00:00,24.25,3.20,2901.10,90.00,10.50,A701
2024-04-18T00:00:00,18.65,0.40,560.40,91.00,9.50,A701
2024-04-19T00:00:00,18.23,0.00,2925.20,85.00,8.00,A701
2024-04-20T00:00:00,19.81,0.00,3032.30,84.00,8.60,A701
2024-04-21T00:00:00,20.79,0.20,3068.30,89.00,7.40,A701
2024-04-22T00:00:00,22.48,0.00,3062.40,89.00,8.70,A701
2024-04-23T00:00:00,23.67,0.00,2965.00,77.00,7.30,A701
2024-04-24T00:00:00,24.28,0.00,2888.70,70.00,8.50,A701
2024-04-25T00:00:00,22.82,0.00,2732.70,85.00,6.90,A701
2024-04-26T00:00:00,23.03,0.00,2887.00,86.00,7.40,A701
2024-04-27T00:00:00,24.53,0.00,2856.60,89.00,8.00,A701
2024-04-28T00:00:00,25.80,0.00,2791.80,75.00,9.60,A701
2024-04-29T00:00:00,25.00,0.00,2730.40,83.00,6.10,A701
2024-04-30T00:00:00,25.69,0.00,2869.80,85.00,6.90,A701
2024-05-01T00:00:00,25.55,0.00,2549.40,73.00,8.90,A701
2024-05-02T00:00:00,25.65,0.00,2780.70,67.00,12.30,A701
2024-05-03T00:00:00,25.28,0.00,2549.90,84.00,6.90,A701
